clean_dates,description
2023-05-16,    
2023-05-15,    
2023-05-12,    
2023-05-11,    
2023-05-10,    
2023-05-09,    
2023-05-08,    
2023-05-05,    
2023-05-04,    
2023-05-03,    
2023-05-02,    
2023-05-01,    
2023-04-28,    
2023-04-27,       
2023-04-26,       
2023-04-25,    
2023-04-24,    
2023-04-21,    
2023-04-20,    
2023-04-19,    
2023-04-18,    
2023-04-17,    
2023-04-14,    
2023-04-13,    
2023-04-12,    
2023-04-11,    
2023-04-10,    
2023-04-05,    
2023-04-03,    
2023-03-31,    
2023-03-30,    
2023-03-29,    
2023-03-28,    
2023-03-24,    
2023-03-23,    
2023-03-22,    
2023-03-21,    
2023-03-20,    
2023-03-17,    
2023-03-16,    
2023-03-15,    
2023-03-14,    
2023-03-13,    
2023-03-10,    
2023-03-09,   
2023-03-08,    
2023-03-07,    
2023-03-06,    
2023-03-03,    
2023-03-02,    
2023-03-01,    
2023-02-28,    
2023-02-27,    
2023-02-24,"    El Gobierno de México protege los recursos naturales de la nación y promueve un crecimiento planeado. La inversión extranjera debe tener una visión sustentable. No se otorgarán permisos para instalarse en sitios donde no haya agua y se ponga en riesgo el consumo doméstico del pueblo.  Confiamos en que, al participar en asuntos relacionados con la lucha contra el cambio climático, los empresarios extranjeros demuestren su dimensión social y ambiental ajustándose a las normas en México.   Refrendamos el compromiso del Gobierno de la Cuarta Transformación de atender, junto a autoridades estatales, la sequía en la zona metropolitana de Monterrey, en Nuevo León, a partir del acueducto El Cuchillo II y la Presa Libertad.   Adicionalmente, la federación también impulsa el proyecto Agua Saludable para la Laguna con una inversión estimada de 12 mil millones de pesos en beneficio de habitantes de Coahuila y Durango.   No hay techo financiero en materia de salud, educación y en todo lo relacionado con la justicia social; se tiene todo el presupuesto que se requiere para atender las necesidades de la gente como prioridad en nuestra gestión.   Hoy informamos sobre el incendio en la refinería de Salina Cruz, Oaxaca y enviamos nuestra solidaridad a pobladores de Ixhuatlán del Sureste, Veracruz, tras la explosión que se registró en instalaciones de Pemex.  Ayer recibimos en Palacio Nacional a Lilia Paredes, esposa del depuesto presidente de Perú, Pedro Castillo, quien agradeció las muestras de solidaridad con su familia desde diciembre pasado tras aceptar asilo político en el país. No podemos callar ante la injusticia; seguiremos apoyando al pueblo peruano.  "
2023-02-23,    
2023-02-22,    
2023-02-21,    
2023-02-20,    
2023-02-17,    
2023-02-16,    
2023-02-15,    
2023-02-14,    
2023-02-13,    
2023-02-10,    
2023-02-09,    
2023-02-08,"    Las brigadas mexicanas de ayuda humanitaria ya están en Turquía y Chile; toda nuestra solidaridad para los pueblos hermanos. Es momento de la fraternidad.   Se enviaron a Chile 300 elementos; de estos, 120 corresponden a la Sedena y 180 a la Comisión Nacional Forestal. Cuentan con la asistencia de un guía chileno para localizar áreas prioritarias.   En el caso de Turquía, la Misión Rescate es liderada por el general brigadier, diplomado de Estado Mayor, José Luis Cruz Piñón. Contempla 93 efectivos de Sedena; 37 de Semar; 15 de Cruz Roja Mexicana y cinco de la Secretaría de Relaciones Exteriores; además, México envió a 16 binomios caninos especialmente entrenados.  Presentamos avances del proyecto Chapultepec: Naturaleza y Cultura. Por su grandeza será el más importante en México y destacará en el mundo.   Los trabajos de rehabilitación transcurren en el tiempo previsto y con los recursos estimados, por lo que se inaugurará este año.   La arqueóloga María de Lourdes López Camacho dio a conocer que, a partir del proyecto se hallaron vestigios de más de 3 mil años.  Impulsamos el desarrollo energético e industrial a través del Corredor Interoceánico del Istmo de Tehuantepec, otra obra estratégica de la Cuarta Transformación.   En breve iniciará la licitación de diez parques industriales que lo conforman; cuatro de estos se destinarán a la generación de energías limpias para el cuidado del ambiente.   El 19 de marzo, legisladores estadounidenses, el enviado presidencial especial de Estados Unidos para el Clima, John Kerry y el embajador de Estados Unidos en México, Kenneth Salazar, visitarán la región.  Misiones de ayuda humanitaria de México llegan a Chile y Turquía:         "
2023-02-07,    
2023-02-06,    
2023-02-03,    
2023-02-02,    
2023-02-01,    
2023-01-31,    
2023-01-30,    
2023-01-27,    
2023-01-26,    
2023-01-25,    
2023-01-24,    
2023-01-23,    
2023-01-20,    
2023-01-19,    
2023-01-18,    
2023-01-17,    
2023-01-16,    
2023-01-13,    
2023-01-12,    
2023-01-09,    
2023-01-06,    
2023-01-05,    
2023-01-04,"    El programa Fertilizantes para el Bienestar en todo el país se amplía con el objetivo de impulsar el desarrollo del campo y consolidar la autosuficiencia alimentaria.  Esta nueva etapa fortalecerá la producción en tres millones de hectáreas dedicadas en su mayoría al cultivo de maíz y frijol; se beneficiará a dos millones de pequeños productores.  La implementación del programa Fertilizantes para el Bienestar comenzó en Guerrero de 2019 con el propósito de asegurar el autoconsumo de sembradores. Actualmente, los excedentes por el aumento en la producción que la entrega de fertilizantes generó, permiten la venta de maíz.  De 2019 a 2022 benefició a 823 mil 968 productores; de estos, el 41 por ciento son mujeres campesinas. Fueron beneficiadas comunidades indígenas de nueve estados: Chiapas, Durango, Guerrero, Morelos, Nayarit, Oaxaca, Puebla, Tlaxcala y Zacatecas.   La economía nacional y el peso mexicano muestran fortaleza; Pemex está en franca recuperación financiera gracias al plan de rescate que impulsamos desde el inicio de este sexenio.      "
2023-01-03,    
2023-01-02,    
2022-12-30,   
2022-12-29,    
2022-12-28,    
2022-12-27,    
2022-12-26,    
2022-12-23,    
2022-12-22,    
2022-12-21,    
2022-12-20,    
2022-12-19,    
2022-12-16,    
2022-12-15,    
2022-12-14,    
2022-12-13,"    Informamos el avance del Plan de Salud para el Bienestar en las entidades incorporadas al sistema federalizado e invitamos a la población a vacunarse contra la influenza que, junto con el COVID-19, tiene mayor impacto en la temporada de frío.   La ocupación hospitalaria por  continúa en niveles bajos: de 4 por ciento en camas generales y de 2 por ciento en camas con ventilador. En la semana epidemiológica 49, la mortalidad se mantiene estable con un fallecimiento diario en promedio.  Las medidas de protección contra infecciones respiratorias agudas contemplan el uso de cubreboca correctamente, lavado frecuente de manos, estornudo de etiqueta, limpieza constante de superficies, vacunarse y, si presentan síntomas, quedarse en casa.   En la próxima visita del presidente Biden plantearemos un plan de sustitución de importaciones con el propósito de producir en América lo que se consume en el continente en beneficio de los pueblos.  Esto significará inversiones y creación de empleos. La economía nacional muestra resultados optimistas; empresas que estaban en Asia se están mudando a nuestro país.   México y Estados Unidos, a 200 años del inicio de la relación diplomática, mantienen un vínculo de fraternidad y respeto.  Trabajamos en un plan integral de obras hidráulicas en Nayarit, Sinaloa y Durango, las cuales supervisaremos este fin de semana. Se procura el bienestar y el desarrollo del campo a través de infraestructura pública.   El próximo viernes 16 de diciembre se inaugurará la primera fase del complejo ecoturístico de las Islas Marías. El museo de sitio está listo para recibir visitantes; de igual forma concluyó la modernización de calles y restauración de casas.   Además, el Gobierno de México desarrolla rutas aéreas y marítimas con el propósito de acercar el turismo a este lugar que será administrado por la Secretaría de Marina.   Mostramos avances del Tren Maya y del Parque Ecológico Lago de Texcoco.  "
2022-12-09,    
2022-12-08,    
2022-12-07,    
2022-12-06,    
2022-12-05,    
2022-12-02,    
2022-12-01,    
2022-11-30,    
2022-11-29,    
2022-11-28,    
2022-11-25,   
2022-11-24,    
2022-11-23,   
2022-11-22,    
2022-11-21,    
2022-11-18,    
2022-11-16,    
2022-11-15,    
2022-11-14,    
2022-11-11,    
2022-11-10,    
2022-11-09,    
2022-11-08,    
2022-11-07,    
2022-11-04,    
2022-11-03,    
2022-11-01,    
2022-10-31,    
2022-10-28,    
